Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
symbol withdrawn, see IGKV1OR22-1	Symbol Withdrawn							
symbol withdrawn, see IGKV2OR22-4	Symbol Withdrawn							
symbol withdrawn, see IGKV1OR22-5	Symbol Withdrawn							
symbol withdrawn, see IGKV1OR2-1	Symbol Withdrawn							
symbol withdrawn, see IGKV1OR-2	Symbol Withdrawn							
symbol withdrawn, see IGKV1OR-3	Symbol Withdrawn							
symbol withdrawn, see IGKV1OR-4	Symbol Withdrawn							
immunoglobulin lambda locus	Approved	IGL@	22q11.2		NG_000002			3535
immunoglobulin lambda constant 1	Approved	IGLC	22q11.22	J00252	NG_000002	147220	ENSG00000211675	3537
immunoglobulin lambda constant 2	Approved	IGLC	22q11.22	J00253	NG_000002		ENSG00000211677	3538
immunoglobulin lambda constant 3 (Kern-Oz+ marker)	Approved	IGLC	22q11.22	J00254	NG_000002		ENSG00000211679	3539
immunoglobulin lambda constant 4 (pseudogene)	Approved	IGLC	22q11.22	J03009	NG_000002		ENSG00000254029	3540
immunoglobulin lambda constant 5 (pseudogene)	Approved	IGLC	22q11.22	J03010	NG_000002		ENSG00000254030	3541
immunoglobulin lambda constant 6 (gene/pseudogene)	Approved	IGLC	22q11.22	J03011	NG_000002		ENSG00000222037	3542
immunoglobulin lambda constant 7	Approved		22q11.22	X51755	NG_000002		ENSG00000211685	28834
immunoglobulin lambda constant/OR22-1 (pseudogene)	Approved		22q12.2-q12.3	AL008723			ENSG00000254127	84096
immunoglobulin lambda constant/OR22-2 (pseudogene)	Approved		22q12.2-q12.3	AL021937			ENSG00000271093	84086
immunoglobulin lambda joining 1	Approved		22q11.22	X04457	NG_000002		ENSG00000211674	28833
immunoglobulin lambda joining 2	Approved		22q11.22	M15641	NG_000002		ENSG00000211676	28832
immunoglobulin lambda joining 3	Approved		22q11.22	M15642	NG_000002		ENSG00000211678	28831
immunoglobulin lambda joining 4 (non-functional)	Approved		22q11.22	X51755	NG_000002		ENSG00000211680	28830
immunoglobulin lambda joining 5 (non-functional)	Approved		22q11.22	X51755	NG_000002		ENSG00000211681	28829
immunoglobulin lambda joining 6	Approved		22q11.22	M18338	NG_000002		ENSG00000211682	28828
immunoglobulin lambda joining 7	Approved		22q11.22	X51755	NG_000002		ENSG00000211684	28827
immunoglobulin lambda joining-constant/OR18 (pseudogene)	Approved		18p11.31	J00255	XM_497569		ENSG00000265243	204777
immunoglobulin lambda like polypeptide 1	Approved	IGLL	22q11.23	X52204	NM_020070	146770	ENSG00000128322	3543
immunoglobulin lambda like polypeptide 2, pseudogene	Approved	IGLL2	22q11.23	L02326				3544
immunoglobulin lambda like polypeptide 3, pseudogene	Approved	IGLL3	22q11.23	X03529	NR_029395		ENSG00000206066	91353
immunoglobulin lambda like polypeptide 4, pseudogene	Approved	IGLL4	22q11.21	X04458			ENSG00000276427	100287528
immunoglobulin lambda like polypeptide 5	Approved		22q11.22	M34518, M34515	NM_001178126		ENSG00000254709	100423062
IgLON family member 5	Approved		19q13.41		NM_001101372		ENSG00000142549	402665
immune response to synthetic polypeptides 1	Approved		6p21.3			147080		7925
immune response to synthetic polypeptides 2	Approved		6p21.3			147090		7926
immunoglobulin lambda variable 1-36	Approved		22q11.22	Z73653	NG_000002		ENSG00000211655	28826
immunoglobulin lambda variable 1-40	Approved		22q11.22	M94116	NG_000002		ENSG00000211653	28825
immunoglobulin lambda variable 1-41 (pseudogene)	Approved		22q11.22	M94118	NG_000002		ENSG00000253818	28824
immunoglobulin lambda variable 1-44	Approved		22q11.22	Z73654	NG_000002		ENSG00000211651	28823
immunoglobulin lambda variable 1-47	Approved		22q11.22	Z73663	NG_000002		ENSG00000211648	28822
immunoglobulin lambda variable 1-50 (non-functional)	Approved		22q11.22	M94112	NG_000002		ENSG00000211645	28821
immunoglobulin lambda variable 1-51	Approved		22q11.22	Z73661	NG_000002		ENSG00000211644	28820
immunoglobulin lambda variable 1-62 (pseudogene)	Approved		22q11.22	D87022	NG_000002		ENSG00000253823	28819
immunoglobulin lambda variable 2-5 (pseudogene)	Approved		22q11.22	Z73641	NG_000002		ENSG00000253234	28818
immunoglobulin lambda variable 2-8	Approved		22q11.22	X97462	NG_000002		ENSG00000278196	28817
immunoglobulin lambda variable 2-11	Approved		22q11.22	Z73657	NG_000002		ENSG00000211668	28816
immunoglobulin lambda variable 2-14	Approved		22q11.22	Z73664	NG_000002		ENSG00000211666	28815
immunoglobulin lambda variable 2-18	Approved		22q11.22	Z73642	NG_000002		ENSG00000211664	28814
immunoglobulin lambda variable 2-23	Approved		22q11.22	X14616	NG_000002		ENSG00000211660	28813
immunoglobulin lambda variable 2-28 (pseudogene)	Approved		22q11.22	X97466	NG_000002		ENSG00000253451	28812
immunoglobulin lambda variable 2-33 (non-functional)	Approved		22q11.22	Z73643	NG_000002		ENSG00000211656	28811
immunoglobulin lambda variable 2-34 (pseudogene)	Approved		22q11.22	D87013	NG_000002		ENSG00000253120	28810
immunoglobulin lambda variable 3-1	Approved		22q11.22	X57826	NG_000002		ENSG00000211673	28809
immunoglobulin lambda variable 3-2 (pseudogene)	Approved		22q11.22	X97468	NG_000002		ENSG00000253963	28808
immunoglobulin lambda variable 3-4 (pseudogene)	Approved		22q11.22	D87024	NG_000002		ENSG00000226420	28807
immunoglobulin lambda variable 3-6 (pseudogene)	Approved		22q11.22	X97465	NG_000002		ENSG00000253448	28806
immunoglobulin lambda variable 3-7 (pseudogene)	Approved		22q11.22	X97470	NG_000002		ENSG00000254077	28805
immunoglobulin lambda variable 3-9 (gene/pseudogene)	Approved		22q11.22	X97473	NG_000002		ENSG00000211670	28804
immunoglobulin lambda variable 3-10	Approved		22q11.22	X97464	NG_000002		ENSG00000211669	28803
immunoglobulin lambda variable 3-12	Approved		22q11.22	Z73658	NG_000002		ENSG00000211667	28802
immunoglobulin lambda variable 3-13 (pseudogene)	Approved		22q11.22	X97463	NG_000002		ENSG00000253590	28801
immunoglobulin lambda variable 3-15 (pseudogene)	Approved		22q11.22	D87015	NG_000002		ENSG00000253786	28800
immunoglobulin lambda variable 3-16	Approved		22q11.22	X97471	NG_000002		ENSG00000211665	28799
immunoglobulin lambda variable 3-17 (pseudogene)	Approved		22q11.22	X97472	NG_000002		ENSG00000253152	28798
immunoglobulin lambda variable 3-19	Approved		22q11.22	X56178	NG_000002		ENSG00000211663	28797
immunoglobulin lambda variable 3-21	Approved		22q11.22	X71966	NG_000002		ENSG00000211662	28796
immunoglobulin lambda variable 3-22 (gene/pseudogene)	Approved		22q11.22	Z73666	NG_000002		ENSG00000211661	28795
immunoglobulin lambda variable 3-24 (pseudogene)	Approved		22q11.22	X71968	NG_000002		ENSG00000253822	28794
immunoglobulin lambda variable 3-25	Approved		22q11.22	X97474	NG_000002		ENSG00000211659	28793
immunoglobulin lambda variable 3-26 (pseudogene)	Approved		22q11.22	X97467	NG_000002		ENSG00000253913	28792
immunoglobulin lambda variable 3-27	Approved		22q11.22	D86994	NG_000002		ENSG00000211658	28791
immunoglobulin lambda variable 3-29 (pseudogene)	Approved		22q11.22	Z73644	NG_000002		ENSG00000253338	28790
immunoglobulin lambda variable 3-30 (pseudogene)	Approved		22q11.22	Z73646	NG_000002		ENSG00000253329	28789
immunoglobulin lambda variable 3-31 (pseudogene)	Approved		22q11.22	X97469	NG_000002		ENSG00000253920	28788
immunoglobulin lambda variable 3-32 (non-functional)	Approved		22q11.22	Z73645	NG_000002		ENSG00000211657	28787
immunoglobulin lambda variable 4-3	Approved		22q11.22	X57828	NG_000002		ENSG00000211672	28786
immunoglobulin lambda variable 4-60	Approved		22q11.22	Z73667	NG_000002		ENSG00000211639	28785
immunoglobulin lambda variable 4-69	Approved		22q11.22	Z73648	NG_000002		ENSG00000211637	28784
immunoglobulin lambda variable 5-37	Approved		22q11.22	Z73672	NG_000002		ENSG00000211654	28783
immunoglobulin lambda variable 5-39	Approved		22q11.2 alternate reference locus	Z73668, KI270875				28782
immunoglobulin lambda variable 5-45	Approved		22q11.22	Z73670	NG_000002		ENSG00000211650	28781
immunoglobulin lambda variable 5-48 (non-functional)	Approved		22q11.22	Z73649	NG_000002		ENSG00000211647	28780
immunoglobulin lambda variable 5-52	Approved		22q11.22	Z73669	NG_000002		ENSG00000211643	28779
immunoglobulin lambda variable 6-57	Approved		22q11.22	Z73673	NG_000002		ENSG00000211640	28778
immunoglobulin lambda variable 7-35 (pseudogene)	Approved		22q11.22	Z73660	NG_000002		ENSG00000253631	28777
immunoglobulin lambda variable 7-43	Approved		22q11.22	X14614	NG_000002		ENSG00000211652	28776
immunoglobulin lambda variable 7-46 (gene/pseudogene)	Approved		22q11.22	Z73674	NG_000002		ENSG00000211649	28775
immunoglobulin lambda variable 8-61	Approved		22q11.22	Z73650	NG_000002		ENSG00000211638	28774
immunoglobulin lambda variable 8/OR8-1 (pseudogene)	Approved		8q11.21	Y08831			ENSG00000215177	100996586
immunoglobulin lambda variable 9-49	Approved		22q11.22	Z73675	NG_000002		ENSG00000223350	28773
immunoglobulin lambda variable 10-54	Approved		22q11.22	Z73676	NG_000002		ENSG00000211642	28772
immunoglobulin lambda variable 10-67 (pseudogene)	Approved		22q11.22	Z73651	NG_000002		ENSG00000253794	28771
immunoglobulin lambda variable 11-55 (non-functional)	Approved		22q11.22	D86996	NG_000002		ENSG00000211641	28770
immunoglobulin lambda variable (I)-20 (pseudogene)	Approved		22q11.22	D87007	NG_000002		ENSG00000254240	28769
immunoglobulin lambda variable (I)-38 (pseudogene)	Approved		22q11.22	D87009	NG_000002		ENSG00000253889	28768
immunoglobulin lambda variable (I)-42 (pseudogene)	Approved		22q11.22	X14613	NG_000002		ENSG00000254175	28767
immunoglobulin lambda variable (I)-56 (pseudogene)	Approved		22q11.22	D86996	NG_000002		ENSG00000253126	28766
immunoglobulin lambda variable (I)-63 (pseudogene)	Approved		22q11.22	D87022	NG_000002		ENSG00000253752	28765
immunoglobulin lambda variable (I)-68 (pseudogene)	Approved		22q11.22	D86993	NG_000002		ENSG00000254355	28764
immunoglobulin lambda variable (I)-70 (pseudogene)	Approved		22q11.22	D86993	NG_000002		ENSG00000253239	28763
immunoglobulin lambda variable (IV)-53 (pseudogene)	Approved		22q11.22	D86996	NG_000002		ENSG00000253935	28762
immunoglobulin lambda variable (IV)-59 (pseudogene)	Approved		22q11.22	D87000	NG_000002		ENSG00000254308	28761
immunoglobulin lambda variable (IV)-64 (pseudogene)	Approved		22q11.22	D87022	NG_000002		ENSG00000253242	28760
immunoglobulin lambda variable (IV)-65 (pseudogene)	Approved		22q11.22	D87022	NG_000002		ENSG00000254161	28759
immunoglobulin lambda variable (IV)-66-1 (pseudogene)	Approved		22q11.22	D87004	NG_000002		ENSG00000253874	84097
immunoglobulin lambda variable (IV)/OR22-1 (pseudogene)	Approved		22q11.2-q12.1	AL008721			ENSG00000271138	84088
immunoglobulin lambda variable (IV)/OR22-2 (pseudogene)	Approved		22q12.2-q12.3	AL021937			ENSG00000243519	84087
immunoglobulin lambda variable (V)-58 (pseudogene)	Approved		22q11.22	D87000	NG_000002		ENSG00000253637	28758
immunoglobulin lambda variable (V)-66 (pseudogene)	Approved		22q11.22	D87004	NG_000002		ENSG00000254075	28757
immunoglobulin lambda variable (VI)-22-1 (pseudogene)	Approved		22q11.22	X71351	NG_000002		ENSG00000253546	84091
immunoglobulin lambda variable (VI)-25-1 (pseudogene)	Approved		22q11.22	D86994	NG_000002		ENSG00000253779	84090
immunoglobulin lambda variable (VII)-41-1 (pseudogene)	Approved		22q11.22	X99568	NG_000002		ENSG00000254073	84089
immunoglobulin superfamily member 1	Approved		Xq25	AF034198		300137	ENSG00000147255	3547
immunoglobulin superfamily member 3	Approved		1p13.1	AF031174	NM_001542	603491	ENSG00000143061	3321
immunoglobulin superfamily member 5	Approved		21q22.2		NM_001080444	610638	ENSG00000183067	150084
immunoglobulin superfamily member 6	Approved		16p12.2	AJ223183		606222	ENSG00000140749	10261
immunoglobulin superfamily member 8	Approved		1q23.2	AF407274	NM_052868	606644	ENSG00000162729	93185
immunoglobulin superfamily member 9	Approved		1q23.2	AB037776	NM_020789	609738	ENSG00000085552	57549
immunoglobulin superfamily member 9B	Approved		11q25	AK097578	NM_001277285	613773	ENSG00000080854	22997
immunoglobulin superfamily member 10	Approved		3q25.1	AY273815	NM_178822	617351	ENSG00000152580	285313
immunoglobulin superfamily member 11	Approved		3q13.32	AB079879		608351	ENSG00000144847	152404
IGSF11 antisense RNA 1	Approved		3q13.32				ENSG00000239877	100506765
immunoglobin superfamily member 21	Approved		1p36.13	AK075316	NM_032880		ENSG00000117154	84966
IGSF21 antisense RNA 1	Approved		1p36.13				ENSG00000230035	105376814
immunoglobulin superfamily member 22	Approved		11p15.1	AK095113	NM_173588		ENSG00000179057	283284
immunoglobulin superfamily member 23	Approved		19q13.31		NM_001205280		ENSG00000216588	147710
iris hypoplasia with glaucoma 1	Approved	IHG	X			308500		3548
symbol withdrawn, see PITX2	Symbol Withdrawn							
Indian hedgehog signaling molecule	Approved		2q35	L38517	NM_002181	600726	ENSG00000163501	3549
IK cytokine	Approved		5q31.3	BC051295	NM_006083	600549	ENSG00000113141	3550
IKBKB interacting protein	Approved		12q23.1	AJ539425	NM_153687	609861	ENSG00000166130	121457
inhibitor of nuclear factor kappa B kinase subunit beta	Approved		8p11.21	AF029684		603258	ENSG00000104365	3551
inhibitor of nuclear factor kappa B kinase subunit epsilon	Approved		1q32.1	AB016590		605048	ENSG00000263528	9641
inhibitor of nuclear factor kappa B kinase subunit gamma	Approved	IP2, IP1	Xq28	AF074382	NM_003639	300248	ENSG00000269335	8517
inhibitor of nuclear factor kappa B kinase subunit gamma pseudogene 1	Approved	IKBKGP	Xq28		NG_001576		ENSG00000275882	246210
IKAROS family zinc finger 1	Approved	ZNFN1A1	7p12.2	U40462	NM_006060	603023	ENSG00000185811	10320
IKAROS family zinc finger 2	Approved	ZNFN1A2	2q34	AF130863	NM_016260	606234	ENSG00000030419	22807
IKAROS family zinc finger 3	Approved	ZNFN1A3	17q12-q21.1	AF129512	NM_012481	606221	ENSG00000161405	22806
IKAROS family zinc finger 4	Approved	ZNFN1A4	12q13.2	AF230809	NM_022465	606239	ENSG00000123411	64375
IKAROS family zinc finger 5	Approved	ZNFN1A5	10q26.13	AF230808	NM_022466	606238	ENSG00000095574	64376
interleukin 1 alpha	Approved	IL1	2q14.1	M28983	NM_000575	147760	ENSG00000115008	3552
interleukin 1 beta	Approved		2q14.1	M15330	NM_000576	147720	ENSG00000125538	3553
interleukin 1 family member 10	Approved		2q14.1	AY026753	NM_173161	615296	ENSG00000136697	84639
interleukin 1 receptor type 1	Approved	IL1R, IL1RA	2q11.2-q12.1	M27492		147810	ENSG00000115594	3554
IL1R1 antisense RNA 1	Approved		2q12.1				ENSG00000226925	112577460
interleukin 1 receptor type 2	Approved	IL1RB	2q11.2	X59770	NM_004633	147811	ENSG00000115590	7850
interleukin 1 receptor accessory protein	Approved		3q28	AB006537	NM_001167929	602626	ENSG00000196083	3556
interleukin 1 receptor accessory protein like 1	Approved	IL1RAPL, MRX34, MRX21, MRX10	Xp21.3-p21.2	AJ243874	NM_014271	300206	ENSG00000169306	11141
interleukin 1 receptor accessory protein like 2	Approved		Xq22.3	AF181285	NM_017416	300277	ENSG00000189108	26280
interleukin 1 receptor like 1	Approved		2q12.1	D12764	NM_016232	601203	ENSG00000115602	9173
interleukin 1 receptor like 2	Approved		2q12.1	U49065	NM_003854	604512	ENSG00000115598	8808
interleukin 1 receptor antagonist	Approved		2q14.1	M55646	NM_173841	147679	ENSG00000136689	3557
interleukin 2	Approved		4q27	U25676		147680	ENSG00000109471	3558
symbol withdrawn, see IL2RA	Symbol Withdrawn							
interleukin 2 receptor subunit alpha	Approved	IL2R, IDDM10	10p15.1	X01057	NM_000417	147730	ENSG00000134460	3559
interleukin 2 receptor subunit beta	Approved	IL15RB	22q12.3	M26062		146710	ENSG00000100385	3560
interleukin 2 receptor subunit gamma	Approved	SCIDX1, IMD4, CIDX	Xq13.1	D11086		308380	ENSG00000147168	3561
interleukin 3	Approved		5q31.1	M14743	NM_000588	147740	ENSG00000164399	3562
interleukin 3 receptor subunit alpha	Approved		Xp22.3 and Yp13.3	M74782		308385, 430000	ENSG00000185291	3563
symbol withdrawn, see CSF2RB	Symbol Withdrawn							
interleukin 4	Approved		5q31.1	M23442	NM_000589	147780	ENSG00000113520	3565
interleukin 4 induced 1	Approved		19q13.33	AF293462		609742	ENSG00000104951	259307
interleukin 4 receptor	Approved		16p12.1	X52425		147781	ENSG00000077238	3566
interleukin 5	Approved		5q31.1	X04688	NM_000879	147850	ENSG00000113525	3567
interleukin 5 receptor subunit alpha	Approved	IL5R	3p26.2	M96652		147851	ENSG00000091181	3568
interleukin 6	Approved	IFNB2	7p15.3	M18403	NM_000600	147620	ENSG00000136244	3569
interleukin 6 receptor	Approved		1q21.3	X12830	NM_000565	147880	ENSG00000160712	3570
IL6R antisense RNA 1	Approved		1q21.3				ENSG00000228013	101928101
interleukin 6 receptor pseudogene 1	Approved	IL6RL1	9q22.2		NG_002785		ENSG00000234910	157916
interleukin 6 signal transducer	Approved		5q11.2	M57230	NM_002184	600694	ENSG00000134352	3572
interleukin 6 signal transducer pseudogene 1	Approved	IL6STP	17p12		NG_002748		ENSG00000227018	3573
interleukin 7	Approved		8q21.13	J04156		146660	ENSG00000104432	3574
interleukin 7 receptor	Approved		5p13.2	M29696		146661	ENSG00000168685	3575
interleukin 9	Approved		5q31.1	S63356	NM_000590	146931	ENSG00000145839	3578
interleukin 9 receptor	Approved		Xq28 and Yq12	M84747	NM_002186	300007	ENSG00000124334	3581
interleukin 9 receptor pseudogene 1	Approved		9q34		NG_030094			100128449
interleukin 9 receptor pseudogene 2	Approved		10p15.3	L39063			ENSG00000232420	439945
interleukin 9 receptor pseudogene 3	Approved		16p13.3	L39062			ENSG00000226942	729486
interleukin 9 receptor pseudogene 4	Approved		18p11.32		NG_002764		ENSG00000262081	100132166
interleukin 10	Approved		1q32.1	M57627	NM_000572	124092	ENSG00000136634	3586
symbol withdrawn, see IL10RA	Symbol Withdrawn							
interleukin 10 receptor subunit alpha	Approved	IL10R	11q23.3	U00672		146933	ENSG00000110324	3587
interleukin 10 receptor subunit beta	Approved	CRFB4, D21S58, D21S66	21q22.11	U08988		123889	ENSG00000243646	3588
IL10RB divergent transcript	Approved	IL10RB-AS1	21q22.11		NR_038974		ENSG00000223799	100288432
interleukin 11	Approved		19q13.42	X58377	NM_000641	147681	ENSG00000095752	3589
interleukin 11 receptor subunit alpha	Approved		9p13.3	Z38102	NM_001142784	600939	ENSG00000137070	3590
interleukin 12A	Approved	NKSF1	3q25.33	M65271	NM_000882	161560	ENSG00000168811	3592
IL12A antisense RNA 1	Approved		3q25.33	AK097161			ENSG00000244040	101928376
interleukin 12B	Approved	NKSF2	5q33.3	M65290	NM_002187	161561	ENSG00000113302	3593
interleukin 12 receptor subunit beta 1	Approved	IL12RB	19p13.11	U03187		601604	ENSG00000096996	3594
interleukin 12 receptor subunit beta 2	Approved		1p31.3	U64198	NM_001559	601642	ENSG00000081985	3595
interleukin 13	Approved		5q31.1	U31120	NM_002188	147683	ENSG00000169194	3596
interleukin 13 receptor subunit alpha 1	Approved		Xq24	U62858	NM_001560	300119	ENSG00000131724	3597
interleukin 13 receptor subunit alpha 2	Approved		Xq23	X95302	NM_000640	300130	ENSG00000123496	3598
interleukin 15	Approved		4q31.21	U14407	NM_172175	600554	ENSG00000164136	3600
interleukin 15 receptor subunit alpha	Approved		10p15.1	U31628	NM_172200, NM_002189	601070	ENSG00000134470	3601
symbol withdrawn, see IL2RB	Symbol Withdrawn							
interleukin 16	Approved		15q25.1	U82972	NM_172217	603035	ENSG00000172349	3603
interleukin 17A	Approved	CTLA8, IL17	6p12.2	U32659	NM_002190	603149	ENSG00000112115	3605
interleukin 17B	Approved		5q32	AF184969	NM_014443	604627	ENSG00000127743	27190
interleukin 17C	Approved		16q24.2	AF152099	NM_013278	604628	ENSG00000124391	27189
interleukin 17D	Approved		13q12.11	AY078238	NM_138284	607587	ENSG00000172458	53342
